Candidate,Party,Criminal Cases,Education,Age,Constituency,Total Assets,Liabilities,Year
Ramgopal Verma,AITC,0,5th Pass,42,Raipur + Chhattisgarh,1100000,0,2014
Ramkrishna Verma,IND,0,8th Pass,0,Raipur + Chhattisgarh,12168,0,2014
Rijhendra Dahariya,IND,0,10th Pass,38,Raipur + Chhattisgarh,180000,0,2014
Sandeep Tiwari,AAP, 1 ,Post Graduate,38,Raipur + Chhattisgarh,950818,0,2014
Santosh Dahariya,IND,0,12th Pass,0,Raipur + Chhattisgarh,490000,200000,2014
Satya Narayan Sharma (sattu Bhaiya),INC, 1 ,12th Pass,70,Raipur + Chhattisgarh,44901667,2259662,2014
Sayeed Javed Ali,IND,0,5th Pass,26,Raipur + Chhattisgarh,250500,0,2014
Shankar Lal Varandaani,IND,0,10th Pass,45,Raipur + Chhattisgarh,492000,0,2014
Smt. Basmati Kshatriyaa,IND,0,8th Pass,48,Raipur + Chhattisgarh,337000,0,2014
Smt. Meera Sharma,IND,0,Post Graduate,33,Raipur + Chhattisgarh,210000,0,2014
Tarzan Jangde,IND,0,12th Pass,0,Raipur + Chhattisgarh,580000,0,2014
Teekam Kumar Tondre,IND,0,12th Pass,27,Raipur + Chhattisgarh,215500,0,2014
Umesh Kumar Verma,IND,0,Post Graduate,48,Raipur + Chhattisgarh,464935,0,2014
Virendra Kumar Dahariya,BSP,0,10th Pass,66,Raipur + Chhattisgarh,4612000,100000,2014
Yaasmin Beg,IND,0,10th Pass,45,Raipur + Chhattisgarh,200500,0,2014
Chandu Lal Sahu (chandu Bhaiya) S/o Late Puneen Ram   Winner ,BJP,0,Graduate Professional,54,Mahasamund + Chhattisgarh,20879652,2700000,2014
Abha Pandey,Chhattisgarh Swabhiman Manch,0,8th Pass,32,Mahasamund + Chhattisgarh,5708000,150000,2014
Ajit Pramod Kumar Jogi,INC, 1 ,Graduate Professional,67,Mahasamund + Chhattisgarh,61583410,1500000,2014
Champa Lal Patel,IND,0,Graduate,47,Mahasamund + Chhattisgarh,1860000,0,2014
Chandoo Lal Sahu S/o Avadh Ram Sahu,IND,0,8th Pass,25,Mahasamund + Chhattisgarh,4000,0,2014
Chandu Lal Sahu S/o Balchand Sahu,IND,0,10th Pass,0,Mahasamund + Chhattisgarh,209000,0,2014
Chandu Lal Sahu S/o Biju Ram Sahu,IND,0,5th Pass,26,Mahasamund + Chhattisgarh,6000,0,2014
Chandu Lal Sahu S/o Late Nathu Ram,IND,0,5th Pass,40,Mahasamund + Chhattisgarh,254500,150000,2014
Chandu Lal Sahu S/o Parmanand Sahu,IND,0,Literate,61,Mahasamund + Chhattisgarh,2574000,0,2014
Chandu Lal Sahu S/o Same Lal Sahu,IND,0,8th Pass,40,Mahasamund + Chhattisgarh,1114000,0,2014
Chandu Lal Sahu S/o Soju Lal Sahu,IND,0,8th Pass,42,Mahasamund + Chhattisgarh,1307000,0,2014
Chandu Ram Sahu S/o Nakul Sahu,IND,0,5th Pass,56,Mahasamund + Chhattisgarh,12000,0,2014
Chandu Ram Sahu S/o Pilau Ram Sahu,IND,0,8th Pass,60,Mahasamund + Chhattisgarh,648000,0,2014
Chanduram Sahu S/o Ram Karosa Sahu,IND,0,Literate,58,Mahasamund + Chhattisgarh,12000,0,2014
Dev Prasad Kelkar,IND,0,10th Pass,50,Mahasamund + Chhattisgarh,6915060,250000,2014
Gangadhar Patel,IND,0,5th Pass,53,Mahasamund + Chhattisgarh,929000,0,2014
Hemant Pradhan,IND,0,8th Pass,53,Mahasamund + Chhattisgarh,219000,0,2014
Kanhaiya Sahu,BSP,0,Graduate,51,Mahasamund + Chhattisgarh,42374312,120000,2014
Lakshman Masturiya,AAP,0,Post Graduate,64,Mahasamund + Chhattisgarh,2242689,0,2014
Mohan Lal Patel,Bhartiya Shakti Chetna Party,0,10th Pass,51,Mahasamund + Chhattisgarh,4383500,0,2014
Moti Lal Sahu S/o Bajaraha Ram Sahu,IND,0,12th Pass,35,Mahasamund + Chhattisgarh,7759000,0,2014
Moti Lal Sahu S/o Sone Lal Sahu,IND,0,8th Pass,35,Mahasamund + Chhattisgarh,1354000,0,2014
Patel Shri Dhar Chandrakar,Apna Dal, 1 ,Post Graduate,42,Mahasamund + Chhattisgarh,24903805,1378101,2014
Preeti Dhruw,GGP,0,Others,33,Mahasamund + Chhattisgarh,150000,0,2014
Rupanand Soi,IND,0,12th Pass,38,Mahasamund + Chhattisgarh,185433,0,2014
Sukhnandan Deshkar,IND,0,8th Pass,43,Mahasamund + Chhattisgarh,7750000,465000,2014
Vijay Kumar Patel,IND,0,Post Graduate,44,Mahasamund + Chhattisgarh,3249000,0,2014
Dinesh Kashyap   Winner ,BJP, 1 ,Post Graduate,51,Bastar + Chhattisgarh,16108199,2191216,2014
Arjun Singh Thakur,Ambedkarite Party of India,0,Post Graduate,54,Bastar + Chhattisgarh,46885000,250000,2014
Deepak Karma,INC,0,Graduate,36,Bastar + Chhattisgarh,3601587,0,2014
Devchand Dhruw,CPI(ML) Red star,0,8th Pass,47,Bastar + Chhattisgarh,371000,52235,2014
Manbodh Baghel,BSP,0,Graduate Professional,40,Bastar + Chhattisgarh,1405000,0,2014
Shankar Ram Thakur,SP,0,Graduate,50,Bastar + Chhattisgarh,12430000,8000,2014
Soni Soree,AAP, 2 ,12th Pass,39,Bastar + Chhattisgarh,195000,250000,2014
Vimla Shoree,CPI,0,Graduate Professional,29,Bastar + Chhattisgarh,1520000,200000,2014
Vikram Usendi   Winner ,BJP,0,10th Pass,48,Kanker + Chhattisgarh,23376000,869000,2014
Amal Say Sori,IND,0,Graduate,42,Kanker + Chhattisgarh,362500,400000,2014
Foolodevi Netam,INC,0,12th Pass,42,Kanker + Chhattisgarh,4819534,0,2014
Hemlal Markam,GGP, 1 ,Graduate,32,Kanker + Chhattisgarh,967000,0,2014
Jamuna Mandavi,Chhattisgarh Swabhiman Manch,0,Graduate,42,Kanker + Chhattisgarh,3321000,1065000,2014
Mahendra Gawade,IND,0,12th Pass,37,Kanker + Chhattisgarh,306413,0,2014
Malik Ram Thakur,Ambedkarite Party of India,0,10th Pass,52,Kanker + Chhattisgarh,2397500,805000,2014
Ramesh Kumar Gawde,CPI, 1 ,8th Pass,38,Kanker + Chhattisgarh,65000,100000,2014
Ramsay Korram,BSP,0,12th Pass,38,Kanker + Chhattisgarh,1070000,9594,2014
Santosh Kumar Dhruw,AAP,0,Graduate,41,Kanker + Chhattisgarh,195543,0,2014
Sunil Kumar Singh   Winner ,BJP,0,Post Graduate,52,Chatra + Jharkhand,174744806,950052,2014
Anil Kumar Oraon,IND,0,10th Pass,45,Chatra + Jharkhand,3490000,25000,2014
Ashish Bhushan Pathak,IND,0,Post Graduate,31,Chatra + Jharkhand,3530500,0,2014
Balwant Kumar,Jharkhand Party, 1 ,Graduate,36,Chatra + Jharkhand,9514000,0,2014
Banwari Saw,CPI,0,Literate,60,Chatra + Jharkhand,5765202,553000,2014
Chandradev Thakur,Socialist Party (India),0,8th Pass,63,Chatra + Jharkhand,1683317,0,2014
Haji Jainul Abedin,BSP,0,Graduate,40,Chatra + Jharkhand,15758303,0,2014
Keshwar Yadav,SP, 16 ,5th Pass,50,Chatra + Jharkhand,3450487,300000,2014
Mahesh Singh Yadav,JD(U),0,Graduate,67,Chatra + Jharkhand,44079939,3281756,2014
Mister Alam Asrafee,Rashtriya Jankranti Morcha,0,Graduate,41,Chatra + Jharkhand,911000,0,2014
Nagmani,AJSU Party, 1 ,12th Pass,51,Chatra + Jharkhand,87315758,0,2014
Naushad Alam,AITC,0,Graduate,33,Chatra + Jharkhand,4839400,0,2014
Nilam Devi,JVM(P),0,5th Pass,37,Chatra + Jharkhand,9780527,1048964,2014
Rajkumar Pahan,Rashtriya Deshaj Party,0,Graduate,45,Chatra + Jharkhand,8851813,0,2014
Ramnaresh Singh,CPI(ML)L, 4 ,10th Pass,49,Chatra + Jharkhand,1255000,0,2014
Robin Singh,IND,0,10th Pass,25,Chatra + Jharkhand,6430000,0,2014
Sagar Ram,ABHM,0,Literate,38,Chatra + Jharkhand,700000,0,2014
Sima Chandravansi,AAP,0,Graduate Professional,25,Chatra + Jharkhand,1535000,120000,2014
Sudhanshu Suman,IND,0,Post Graduate,40,Chatra + Jharkhand,41861206,2258169,2014
Ravindra Kumar Ray   Winner ,BJP,0,Doctorate,50,Kodarma + Jharkhand,10564046,200000,2014
Dr. Suraj Mandal,Jharkhand Vikas Dal, 2 ,Doctorate,65,Kodarma + Jharkhand,7871582,700000,2014
Jaideo Choudhary,SP, 2 ,10th Pass,52,Kodarma + Jharkhand,4620269,28831,2014
Kanchan Kumari,IND,0,12th Pass,27,Kodarma + Jharkhand,5980857,85000,2014
Krishna Singh,JD(U), 1 ,Literate,50,Kodarma + Jharkhand,518000,0,2014
Mahendra Ravidas,Bahujan Mukti Party,0,Graduate,44,Kodarma + Jharkhand,889868,133210,2014
Manju Kumari,AITC,0,Post Graduate,36,Kodarma + Jharkhand,2598000,0,2014
Manoj Kumar,IND,0,Post Graduate,38,Kodarma + Jharkhand,8410000,10000,2014
Md Jalil Ansari,National Loktantrik Party,0,Illiterate,40,Kodarma + Jharkhand,541600,0,2014
Najrul Hassan Hashmi,AJSU Party,0,Literate,42,Kodarma + Jharkhand,1800614,0,2014
Phaljit Mahto,IND,0,Illiterate,40,Kodarma + Jharkhand,995000,15000,2014
Pranav Kumar Verma,JVM(P),0,Post Graduate,34,Kodarma + Jharkhand,1386131,0,2014
Raghunandan Prasad Vishwakarma,AIFB,0,10th Pass,63,Kodarma + Jharkhand,4822232,487351,2014
Rameshwar Prasad Yadav,IND,0,Post Graduate,37,Kodarma + Jharkhand,1488300,45000,2014
Shivnath Sav,IND,0,8th Pass,28,Kodarma + Jharkhand,911000,121000,2014
Tilakdhari Prasad Singh,INC,0,Graduate,69,Kodarma + Jharkhand,4666034,0,2014
Vijay Kumar Chourasiya,AAP, 1 ,Graduate,42,Kodarma + Jharkhand,3704548,620968,2014
Visheshwar Prasad,BSP,0,8th Pass,45,Kodarma + Jharkhand,4850000,1800000,2014
Yogender Ram,Akhil Bharatiya Jan Sangh,0,10th Pass,39,Kodarma + Jharkhand,4765000,500000,2014
Karia Munda   Winner ,BJP,0,Post Graduate,77,Khunti + Jharkhand,7474796,0,2014
Anosh Ekka,Jharkhand Party, 3 ,10th Pass,44,Khunti + Jharkhand,36766971,4224902,2014
Asrita Tuti,IND,0,Post Graduate,52,Khunti + Jharkhand,3398931,560769,2014
Basant Kumar Longa,JVM(P),0,Graduate,44,Khunti + Jharkhand,5442300,0,2014
Buday Munda,Akhil Bhartiya Jharkhand Party,0,12th Pass,66,Khunti + Jharkhand,1669500,50000,2014
Dayamani Barla,AAP, 5 ,Post Graduate,44,Khunti + Jharkhand,175500,0,2014
Jaitun Tuti,IND,0,10th Pass,29,Khunti + Jharkhand,100000,0,2014
Jitendra Manki Alias Jitendra Prasad Manki,IND,0,Graduate,34,Khunti + Jharkhand,6120000,65000,2014
Kalicharan Munda,INC,0,12th Pass,52,Khunti + Jharkhand,4069525,31895,2014
Mahadev Ravinath Pahan,Rashtriya Deshaj Party,0,12th Pass,29,Khunti + Jharkhand,2137028,0,2014
Neil Tirkey,AJSU Party, 1 ,Graduate,60,Khunti + Jharkhand,23771799,8400000,2014
Nitima Bodra Bari,SP,0,Graduate,47,Khunti + Jharkhand,6237543,0,2014
Subodh Purty,BSP,0,8th Pass,44,Khunti + Jharkhand,1060018,125000,2014
Sudarshan Bhagat   Winner ,BJP,0,Graduate,45,Lohardaga + Jharkhand,9031009,178967,2014
Birendra Bhagat,JVM(P),0,10th Pass,43,Lohardaga + Jharkhand,2911000,0,2014
Chamra Linda,AITC, 2 ,Graduate,44,Lohardaga + Jharkhand,7010805,1550000,2014
Jayram Indwar,BSP,0,12th Pass,36,Lohardaga + Jharkhand,1965000,0,2014
Lal Say Kumar Bhagat,CPI(ML)L,0,12th Pass,44,Lohardaga + Jharkhand,1319000,0,2014
Mahendra Oraon,IND,0,12th Pass,35,Lohardaga + Jharkhand,2180000,20000,2014
Nawal Kishor Singh,IND,0,10th Pass,47,Lohardaga + Jharkhand,1733000,0,2014
Rameshwar Oraon,INC,0,Doctorate,67,Lohardaga + Jharkhand,262697987,0,2014
Ranjit Oraon,IND,0,12th Pass,38,Lohardaga + Jharkhand,2024021,0,2014
Vishnu Dayal Ram   Winner ,BJP,0,Graduate,62,Palamau + Jharkhand,24753886,0,2014
Ashok Ram,IND,0,10th Pass,34,Palamau + Jharkhand,3099116,0,2014
Ghuran Ram,JVM(P), 3 ,Graduate,46,Palamau + Jharkhand,14586699,1046647,2014
Jorawar Ram,JD(U), 2 ,12th Pass,64,Palamau + Jharkhand,16525000,205000,2014
Kameshwar Baitha,AITC, 48 ,10th Pass,59,Palamau + Jharkhand,1808000,0,2014
Laldev Ram,Bahujan Mukti Party,0,12th Pass,40,Palamau + Jharkhand,7293888,0,2014
Manoj Kumar,RJD, 1 ,Graduate,41,Palamau + Jharkhand,8357000,2350000,2014
Rambadan Ram,SP,0,Post Graduate,57,Palamau + Jharkhand,2450000,800000,2014
Rampati Ranjan,BSP,0,Graduate,58,Palamau + Jharkhand,4445000,0,2014
Ravindra Kumar Ravi,IND,0,12th Pass,30,Palamau + Jharkhand,200000,0,2014
Shyam Lal Ram,IND,0,Graduate,27,Palamau + Jharkhand,31205,0,2014
Sushma Mehta,CPI(ML)(L), 6 ,12th Pass,41,Palamau + Jharkhand,2305547,651713,2014
Vinod Ram,IND,0,12th Pass,33,Palamau + Jharkhand,1526001,0,2014
Jayant Sinha   Winner ,BJP,0,Post Graduate,50,Hazaribagh + Jharkhand,556814579,86380600,2014
Abdul Rahim,Bahujan Mukti Party,0,Graduate,47,Hazaribagh + Jharkhand,1800000,0,2014
Ajit Kumar Singh,AITC,0,12th Pass,43,Hazaribagh + Jharkhand,6000000,912823,2014
Arun Kumar Mishra,JVM(P),0,Graduate,49,Hazaribagh + Jharkhand,55808583,23803410,2014
Badri Gope,IND,0,5th Pass,45,Hazaribagh + Jharkhand,1756000,0,2014
Baldeo Ganjhu,IND, 2 ,10th Pass,37,Hazaribagh + Jharkhand,450746,0,2014
Bhuneshwar Prasad Mehta,CPI, 1 ,12th Pass,68,Hazaribagh + Jharkhand,10483915,0,2014
Dr. Dhirendra Kumar Raj,IND,0,Graduate Professional,28,Hazaribagh + Jharkhand,43518730,0,2014
Javed Islam,CPI(ML)L,0,Graduate,54,Hazaribagh + Jharkhand,2117600,50000,2014
Loknath Mahto,AJSU Party, 1 ,12th Pass,69,Hazaribagh + Jharkhand,23139387,236074,2014
Mahendra Kishor Mehta,IND,0,10th Pass,42,Hazaribagh + Jharkhand,1035500,0,2014
Mithalesh Kumar Mahto,AAP, 1 ,Doctorate,40,Hazaribagh + Jharkhand,8251000,0,2014
Mo. Shanul Haque,IUML,0,12th Pass,39,Hazaribagh + Jharkhand,194500,0,2014
Prayag Prasad,IND,0,Literate,49,Hazaribagh + Jharkhand,4063000,150000,2014
Promod Kumar Mahatha,Pragatisheel Magahi Samaj,0,12th Pass,35,Hazaribagh + Jharkhand,3030000,653525,2014
Ramavtar Mahto,IND,0,12th Pass,29,Hazaribagh + Jharkhand,1863000,0,2014
Rameshwar Ram Kushwaha,AIFB, 1 ,Graduate,44,Hazaribagh + Jharkhand,946596,0,2014
Saurabh Narain Singh,INC, 2 ,Post Graduate,39,Hazaribagh + Jharkhand,415506982,0,2014
Tetri Urf Sheela Devi,BSP,0,10th Pass,56,Hazaribagh + Jharkhand,5412000,3000,2014
Yashpal Yadav,IND,0,5th Pass,25,Hazaribagh + Jharkhand,7731500,0,2014
Bishnu Pada Ray   Winner ,BJP, 1 ,Graduate,64,Andaman And Nicobar Islands + Andaman & Nicobar Islands,5658980,175115,2014
A Pandian,AIFB,0,12th Pass,41,Andaman And Nicobar Islands + Andaman & Nicobar Islands,859410,350000,2014
Anita Mondal,AITC, 1 ,Graduate,48,Andaman And Nicobar Islands + Andaman & Nicobar Islands,5471073,6000,2014
C G Saji Kumar,IND,0,12th Pass,41,Andaman And Nicobar Islands + Andaman & Nicobar Islands,50000,0,2014
Gaur Chandra Majumder,BSP,0,Graduate,47,Andaman And Nicobar Islands + Andaman & Nicobar Islands,3192819,688689,2014
K.g.das,CPI(M),0,12th Pass,70,Andaman And Nicobar Islands + Andaman & Nicobar Islands,4221392,0,2014
Kuldeep Rai Sharma,INC,0,Graduate Professional,46,Andaman And Nicobar Islands + Andaman & Nicobar Islands,31594826,5034619,2014
N K P Nair,CPI(ML)L,0,10th Pass,59,Andaman And Nicobar Islands + Andaman & Nicobar Islands,5287805,43642,2014
N Kannan,IND,0,8th Pass,35,Andaman And Nicobar Islands + Andaman & Nicobar Islands,32400,549313,2014
Prakash Minj,IND,0,Post Graduate,38,Andaman And Nicobar Islands + Andaman & Nicobar Islands,308000,0,2014
R.s.uma Bharatthy,NCP,0,Post Graduate,49,Andaman And Nicobar Islands + Andaman & Nicobar Islands,1380999,253000,2014
Raghubir Singh,SP, 1 ,8th Pass,49,Andaman And Nicobar Islands + Andaman & Nicobar Islands,1128697,20000,2014
Sanjay Meshack,AAP,0,10th Pass,43,Andaman And Nicobar Islands + Andaman & Nicobar Islands,57497526,633088,2014
Saravanan,IND,0,Graduate,38,Andaman And Nicobar Islands + Andaman & Nicobar Islands,236000,0,2014
V V Khalid,IND,0,8th Pass,46,Andaman And Nicobar Islands + Andaman & Nicobar Islands,235000,0,2014
Mohammed Faizal.p.p   Winner ,NCP, 3 ,Post Graduate,38,Lakshadweep + Lakshadweep,538119,0,2014
Abdul Muneer,CPI(M),0,Post Graduate,41,Lakshadweep + Lakshadweep,1395365,0,2014
M.p. Sayed Mohammaed Koya,BJP,0,Graduate,60,Lakshadweep + Lakshadweep,14073985,0,2014
Muhammed Hamdullah Sayeed,INC,0,Graduate Professional,31,Lakshadweep + Lakshadweep,40192946,358156,2014
Najmudheen.c.t,CPI, 7 ,Graduate,38,Lakshadweep + Lakshadweep,322000,0,2014
Seyyed Mohammed Khasim.k,SP, 2 ,12th Pass,37,Lakshadweep + Lakshadweep,5236685,0,2014
Prakash Hukkeri   Winner ,INC,0,12th Pass,67,Chikkodi + Karnataka,75717628,3635650,2014
Appasaheb Kurane,Sarva Janata Party,0,12th Pass,31,Chikkodi + Karnataka,348900,0,2014
Ashfaq Ahmed Madaki,AAP,0,Post Graduate,36,Chikkodi + Karnataka,419204,0,2014
Basappa Kallappa Hanchanal,IND,0,12th Pass,62,Chikkodi + Karnataka,15991000,270000,2014
Jitendra Subhash Nerle,IND,0,10th Pass,39,Chikkodi + Karnataka,45500,0,2014
Machindra Kadapure,BSP,0,Illiterate,44,Chikkodi + Karnataka,101000,0,2014
Magadum Ismail Magadum,IND, 1 ,10th Pass,53,Chikkodi + Karnataka,2027500,600000,2014
Mohan Motannavar,IND,0,Graduate,39,Chikkodi + Karnataka,1119300,90000,2014
Prataprao Alagouda Patil,NCP, 1 ,Post Graduate,63,Chikkodi + Karnataka,19483000,37260000,2014
Ramesh Vishwanath Katti,BJP,0,10th Pass,49,Chikkodi + Karnataka,89216294,598000,2014
Shrimant Balasaheb Patil,JD(S), 5 ,Graduate,59,Chikkodi + Karnataka,223524192,136392288,2014
Shrinik Annasaheb Jangate,IND,0,12th Pass,34,Chikkodi + Karnataka,500500,0,2014
Suresh Angadi   Winner ,BJP, 1 ,Graduate Professional,58,Belgaum + Karnataka,233390964,93072889,2014
Dayanand Guruputrayya Chikkamath,SP,0,Graduate,48,Belgaum + Karnataka,7050000,2000000,2014
Hanmant Krishna Majukar,IND,0,10th Pass,42,Belgaum + Karnataka,12403000,0,2014
Lakshmi Hebbalkar,INC,0,Post Graduate,39,Belgaum + Karnataka,83015088,2579238,2014
Mohan Yallappa More,IND,0,10th Pass,33,Belgaum + Karnataka,1267950,0,2014
Muttappa Channasangappa Angadi,AAP,0,12th Pass,39,Belgaum + Karnataka,9470924,1524180,2014
Nasir Papulsab Bagwan,JD(S),0,12th Pass,56,Belgaum + Karnataka,962297866,95826301,2014
Parappa Shankareppa Antakkanavar,IND, 1 ,Graduate Professional,41,Belgaum + Karnataka,12751189,1053795,2014
Rajmahendra Sakharam Gaonkar,IND,0,Post Graduate,56,Belgaum + Karnataka,3620123,0,2014
Ramappa Mareppa Chalawadi,IND, 1 ,10th Pass,72,Belgaum + Karnataka,1620326,50000,2014
Ramesh Alias Suresh Guruling Kadalaskar,BSP,0,12th Pass,52,Belgaum + Karnataka,479000,0,2014
Santosh Manjunath Shet(raikar),IND,0,10th Pass,35,Belgaum + Karnataka,3592220,0,2014
Santosh Manohar Bavadekar,IND, 1 ,Graduate,34,Belgaum + Karnataka,115082,0,2014
Shankar Rathod,IND,0,10th Pass,46,Belgaum + Karnataka,4650000,0,2014
Shivagoudappa Balappa Khanagoudar,IND,0,Graduate Professional,62,Belgaum + Karnataka,1828000,0,2014
Ramesh Jigajinagi   Winner ,BJP, 2 ,Graduate,64,Bijapur + Karnataka,89429828,5305043,2014
Bhagwan Kambale,RPI(A),0,5th Pass,64,Bijapur + Karnataka,906668,150000,2014
Dr Rajesh Alias Ravi Vallyapur,IND,0,Graduate Professional,42,Bijapur + Karnataka,12208000,0,2014
Hanmanth Holer,IND, 1 ,12th Pass,32,Bijapur + Karnataka,141500,0,2014
K Shivram,JD(S),0,Post Graduate,61,Bijapur + Karnataka,26203570,0,2014
Maraganna Hunnur,IND,0,Graduate,56,Bijapur + Karnataka,375000,0,2014
Prakash Rathod,INC, 3 ,Post Graduate,53,Bijapur + Karnataka,113403666,27599682,2014
Raju Padaganur,IND,0,10th Pass,36,Bijapur + Karnataka,680000,10000,2014
Rudresh Dayappa Dodamani,IND,0,Post Graduate,50,Bijapur + Karnataka,2090000,400000,2014
Satish Asangihal,IND,0,Graduate Professional,26,Bijapur + Karnataka,20500,0,2014
Shridhar Narayankar,AAP,0,Others,34,Bijapur + Karnataka,9261841,2133500,2014
Siddappa Ganji,IND,0,12th Pass,61,Bijapur + Karnataka,128000,0,2014
Srikant Arakeri,Karunaadu Party,0,Graduate,46,Bijapur + Karnataka,875500,390000,2014
Sudhakar Kanamadi,BSP,0,Graduate,59,Bijapur + Karnataka,13314500,527933,2014
Mallikarjun Kharge   Winner ,INC,0,Graduate Professional,72,Gulbarga + Karnataka,102220880,7410154,2014
B.t.lalitha Naik,AAP,0,8th Pass,68,Gulbarga + Karnataka,6006253,0,2014
Dhulappa Gundappa,JD(S),0,Graduate Professional,57,Gulbarga + Karnataka,7335800,0,2014
Mahadev Bhimsha,BSP, 1 ,Graduate,49,Gulbarga + Karnataka,9222545,825000,2014
Ramu Chatru,IND,0,Graduate,47,Gulbarga + Karnataka,1100000,0,2014
Revasing Loku,BJP,0,5th Pass,73,Gulbarga + Karnataka,33293923,3500000,2014
Shankar Jadhav,Bharatiya Peoples Party,0,Graduate,52,Gulbarga + Karnataka,3400000,0,2014
Sharanabasappa Malakajappa,SUCI(C),0,Graduate,30,Gulbarga + Karnataka,12500,0,2014
B.v.nayak   Winner ,INC,0,Graduate Professional,48,Raichur + Karnataka,73502466,0,2014
Arakera Shivanagouda Nayak,BJP, 1 ,Graduate,37,Raichur + Karnataka,45433720,7544250,2014
Bhagvantappa,Lok Satta Party,0,Illiterate,62,Raichur + Karnataka,609998,66000,2014
Bhimaraya,AAP,0,10th Pass,62,Raichur + Karnataka,2885000,65000,2014
Chinnayyanaik,IND,0,12th Pass,46,Raichur + Karnataka,1658400,0,2014
D.b.nayak,JD(S), 1 ,Graduate,62,Raichur + Karnataka,10591888,0,2014
K Somashekar,SUCI(C),0,Graduate,48,Raichur + Karnataka,3539,0,2014
Maruti,National Development Party,0,Graduate Professional,38,Raichur + Karnataka,50000,0,2014
Nagaraj,CPI(ML) Red star,0,12th Pass,29,Raichur + Karnataka,901500,114611,2014
Raja Thimmappa Nayak,BSP,0,12th Pass,74,Raichur + Karnataka,15732000,100000,2014
Ranganayak,Pyramid Party of India,0,10th Pass,33,Raichur + Karnataka,555000,16000,2014
Bhagwanth   Winner ,BJP,0,Graduate Professional,46,Bidar + Karnataka,56559290,16829000,2014
Abdul Hameed,Welfare Party of India,0,Post Graduate,72,Bidar + Karnataka,15287118,0,2014
Babupasha,IND,0,Not Given,43,Bidar + Karnataka,12500,50000,2014
Balbheem,IND,0,Graduate,44,Bidar + Karnataka,415000,0,2014
Bandeppa,JD(S),0,Graduate Professional,50,Bidar + Karnataka,73218291,3333600,2014
Chandrakant,AAP,0,Post Graduate,54,Bidar + Karnataka,5000070,417370,2014
Govind,SP,0,10th Pass,37,Bidar + Karnataka,43703163,2740661,2014
Ismail Zabi Ullah,IND,0,Graduate,0,Bidar + Karnataka,76000,0,2014
Kallalinga,IND,0,Graduate,0,Bidar + Karnataka,6241000,830000,2014
Machendar,IND,0,Post Graduate,50,Bidar + Karnataka,11000000,550000,2014
Mirza Shafee Baig,IND,0,8th Pass,32,Bidar + Karnataka,0,0,2014
Mohammed Rafiq,IND,0,5th Pass,38,Bidar + Karnataka,50000,0,2014
N.dharam Singh,INC, 1 ,Post Graduate,78,Bidar + Karnataka,236308464,53289216,2014
Naganath Patil,IND,0,Graduate,47,Bidar + Karnataka,510000,0,2014
Prabhu,IND,0,10th Pass,47,Bidar + Karnataka,2200000,0,2014
Ramanna,Hindustan Janta Party,0,5th Pass,49,Bidar + Karnataka,435000,0,2014
Ramesh,Ambedkar National Congress, 1 ,10th Pass,44,Bidar + Karnataka,1957000,0,2014
Shamala,IND,0,Not Given,42,Bidar + Karnataka,9178000,1000000,2014
Shanker Bhayya,BSP,0,Others,66,Bidar + Karnataka,7520141,0,2014
Shravan,Rashtriya Samaj Paksha,0,12th Pass,47,Bidar + Karnataka,503900,50000,2014
Siddaramappa,IND,0,10th Pass,51,Bidar + Karnataka,102000,0,2014
Subhash Bhimsha Sindankera,IND,0,5th Pass,30,Bidar + Karnataka,306000,0,2014
Syed Waheed,Bahujan Mukti Party, 1 ,10th Pass,46,Bidar + Karnataka,1425000,0,2014
Yeshwanthrao,Bharatiya Peoples Party,0,Post Graduate,52,Bidar + Karnataka,3236000,120000,2014
Sanganna A. Karadi   Winner ,BJP, 1 ,10th Pass,59,Koppal + Karnataka,12127000,6848000,2014
B.manohar Hanumantappa,IND,0,10th Pass,58,Koppal + Karnataka,2035000,0,2014
Basavaraj,INC,0,10th Pass,66,Koppal + Karnataka,38334476,2144769,2014
Bharadhawaja,CPI(ML)L,0,Others,67,Koppal + Karnataka,430000,0,2014
D H Pujar,CPI(ML) Red star, 4 ,5th Pass,48,Koppal + Karnataka,2219600,350000,2014
G Anojirao,IND,0,12th Pass,38,Koppal + Karnataka,2101000,0,2014
Govindhareddy Pacharalli,IND,0,Graduate,37,Koppal + Karnataka,120000,30000,2014
K M Ranganathreddy,SP, 1 ,Graduate Professional,57,Koppal + Karnataka,5500000,0,2014
Nagappa Karatagi,IND,0,Graduate,59,Koppal + Karnataka,5205986,495000,2014
Nazeer Hussain,Rashtriya Krantikari Samajwadi Party,0,10th Pass,45,Koppal + Karnataka,582000,0,2014
Ramesh Koti,RPI(A),0,Graduate Professional,43,Koppal + Karnataka,491000,0,2014
Shivakumar Navalisiddappa Tontapur,AAP,0,Graduate,48,Koppal + Karnataka,2725000,460000,2014
Suresh,IND,0,5th Pass,33,Koppal + Karnataka,1600000,70000,2014
Syed Arif,BSP, 1 ,12th Pass,47,Koppal + Karnataka,10000,5000,2014
Thimmappa Uppar,Bharatiya Dr. B.R.Ambedkar Janta Party,0,10th Pass,45,Koppal + Karnataka,1000423,0,2014
V Govind,IND,0,5th Pass,0,Koppal + Karnataka,162000,0,2014
B Sreeramulu   Winner ,BJP, 8 ,Graduate,43,Bellary + Karnataka,151392844,4050947,2014
