,company_name,job_title,min_experience,avg_salary,min_salary,max_salary,num_of_salaries
393,Deloitte,Data Analyst,1,7.6L,4.3L,13.0L,202
394,Zen3 Info Solutions,Data Analyst,1,3.1L,2.2L,4.2L,188
395,Unilog Content Solutions ( P),Data Analyst,1,2.5L,2.0L,3.2L,181
396,Cogencis Information Services,Data Analyst,1,1.7L,1.2L,2.6L,175
397,UnitedHealth,Data Analyst,2,10.7L,3.3L,18.0L,171
398,Qualsquad Infotech,Data Analyst,0,2.0L,1.1L,3.0L,149
399,NTT DATA,Data Analyst,1,4.3L,2.1L,8.0L,138
400,InnovAccer,Data Analyst,0,9.2L,5.0L,13.0L,137
401,Teleperformance,Data Analyst,1,2.4L,1.8L,4.4L,132
402,Mindtree,Data Analyst,1,5.6L,4.0L,9.6L,132
403,Ericsson,Data Analyst,2,5.8L,4.0L,10.0L,126
404,Apex CoVantage,Data Analyst,0,1.8L,1.1L,3.0L,123
405,Tiger Analytics,Data Analyst,0,8.8L,7.5L,12.0L,120
406,Cyient,Data Analyst,1,3.4L,1.8L,6.7L,119
407,Urjanet Energy Solutions,Data Analyst,1,2.7L,2.0L,4.2L,118
408,HSBC,Data Analyst,1,8.0L,3.4L,12.4L,117
409,DXC Technology,Data Analyst,1,5.4L,3.7L,10.2L,109
410,QUADRANT RESOURCE LLC,Data Analyst,1,3.0L,1.5L,4.0L,109
411,PwC,Data Analyst,0,6.3L,3.2L,12.0L,108
412,LatentView Analytics,Data Analyst,0,6.3L,5.0L,9.0L,104
413,EXL Service,Data Analyst,1,5.0L,2.2L,9.1L,102
414,KPMG,Data Analyst,1,6.7L,3.0L,12.0L,100
415,WNS,Data Analyst,1,5.2L,2.0L,8.9L,98
416,Myntra,Data Analyst,1,9.6L,4.8L,14.0L,98
417,IQVIA,Data Analyst,1,7.3L,4.1L,12.0L,96
418,Ugam Solution,Data Analyst,0,4.6L,1.8L,8.0L,92
419,Bharti Airtel,Data Analyst,1,4.6L,2.6L,11.0L,90
420,ICICI Bank,Data Analyst,1,4.9L,2.5L,10.0L,82
421,Walmart,Data Analyst,1,13.9L,3.8L,30.0L,81
422,JP Morgan Chase,Data Analyst,2,10.0L,4.1L,20.0L,81
423,Kantar,Data Analyst,1,4.2L,3.0L,5.7L,79
424,S&P Global,Data Analyst,1,4.4L,3.1L,8.0L,79
425,Axtria,Data Analyst,0,8.8L,6.0L,13.5L,77
426,L&T Infotech,Data Analyst,1,6.6L,3.8L,14.5L,77
427,Nielsen,Data Analyst,1,4.0L,2.4L,7.3L,75
428,Citicorp,Data Analyst,1,12.2L,8.5L,17.1L,75
429,Morningstar,Data Analyst,0,3.6L,3.0L,4.8L,74
430,TheMathCompany,Data Analyst,0,5.2L,4.5L,8.0L,73
431,Hewlett-Packard Enterprise,Data Analyst,2,6.6L,3.5L,10.0L,72
432,Datamatics Global Services,Data Analyst,0,2.1L,1.0L,5.4L,72
433,HERE Technologies,Data Analyst,0,2.6L,2.0L,4.0L,72
434,HDFC Bank,Data Analyst,1,4.6L,2.0L,10.3L,69
435,Nvidia,Data Analyst,1,3.3L,2.5L,4.1L,69
436,Dell,Data Analyst,1,5.8L,2.5L,12.0L,68
437,Zensar Technologies,Data Analyst,1,4.4L,2.9L,6.5L,67
438,Vodafone Idea,Data Analyst,2,5.7L,3.0L,11.0L,67
439,Ardem Data Services,Data Analyst,0,1.9L,1.1L,3.0L,67
440,Fiserv,Data Analyst,2,11.5L,6.0L,17.0L,66
441,Verificient Technologies,Data Analyst,0,2.2L,1.8L,3.3L,65
442,CRG Solutions,Data Analyst,1,5.8L,3.7L,9.0L,64
443,Oracle,Data Analyst,1,5.8L,3.1L,13.9L,64
444,Google,Data Analyst,1,15.5L,2.6L,50.0L,63
445,Swiggy,Data Analyst,1,4.4L,3.1L,7.3L,62
446,Kriya It,Data Analyst,0,1.6L,1.0L,2.5L,61
447,Reliance jio,Data Analyst,1,5.6L,3.5L,10.5L,58
448,Mphasis,Data Analyst,1,5.1L,2.1L,9.5L,58
449,Wells Fargo India,Data Analyst,1,10.3L,3.1L,20.0L,55
450,FE fundinfo,Data Analyst,0,3.3L,2.5L,4.0L,55
451,Oyo Rooms,Data Analyst,1,6.5L,3.4L,11.5L,54
452,Competent Software,Data Analyst,1,3.1L,2.0L,4.1L,54
453,Udaan,Data Analyst,1,5.0L,3.0L,9.0L,53
454,Continental Automotive Components,Data Analyst,1,2.6L,2.2L,3.5L,53
455,E2OPEN,Data Analyst,2,4.1L,3.2L,5.7L,53
456,IHS Markit,Data Analyst,1,5.8L,3.5L,9.5L,52
457,Fidelity National Financial,Data Analyst,0,3.3L,1.9L,4.2L,51
458,Proziod Analytics,Data Analyst,1,3.5L,3.0L,4.5L,51
459,American Express,Data Analyst,1,9.5L,3.2L,18.0L,50
460,Bajaj Finserv,Data Analyst,0,6.5L,2.0L,12.0L,49
461,Optimint Solutions,Data Analyst,0,2.2L,1.7L,3.0L,49
462,Mu Sigma,Data Analyst,1,7.8L,5.0L,14.5L,48
463,Course5,Data Analyst,0,3.5L,3.0L,5.1L,48
464,Paytm,Data Analyst,2,6.0L,3.0L,12.5L,48
465,Straive,Data Analyst,0,2.4L,1.8L,3.0L,48
466,Honeywell Technology Solutions,Data Analyst,2,9.4L,5.0L,13.0L,47
467,Intelligent Image Management Inc,Data Analyst,0,1.4L,0.2L,2.0L,47
468,UnitedLex,Data Analyst,1,3.1L,2.5L,4.2L,47
469,Fidelity National Information Services,Data Analyst,1,5.0L,2.7L,8.1L,46
470,Barclays,Data Analyst,1,11.2L,6.5L,19.0L,46
471,Novartis Healthcare,Data Analyst,2,10.3L,6.7L,14.2L,46
472,R1 RCM,Data Analyst,1,3.4L,2.3L,5.5L,45
473,Nokia,Data Analyst,0,4.2L,2.2L,8.0L,45
474,Bahar Infocons,Data Analyst,1,2.2L,1.4L,3.1L,45
475,Axis Bank,Data Analyst,0,8.2L,4.0L,14.0L,45
476,Freelancer.com,Data Analyst,1,3.7L,1.5L,7.0L,45
477,Virtusa Consulting Services,Data Analyst,1,4.2L,2.2L,8.8L,44
478,Aon,Data Analyst,0,4.6L,2.9L,8.5L,43
479,Conduent,Data Analyst,1,3.9L,1.6L,6.4L,42
480,Schneider Electric,Data Analyst,1,6.3L,3.0L,12.1L,42
481,Citibank,Data Analyst,0,10.4L,4.1L,15.8L,42
482,Sphera Solutions,Data Analyst,0,3.4L,3.2L,3.8L,42
483,Systech Solutions,Data Analyst,0,4.7L,3.8L,7.5L,41
484,Ford Motor,Data Analyst,1,9.6L,5.0L,13.1L,41
485,First Source,Data Analyst,1,2.7L,1.5L,4.9L,40
486,S&P Global Market Intelligence,Data Analyst,1,4.1L,3.0L,6.1L,40
487,UST,Data Analyst,2,7.4L,3.8L,12.0L,40
488,SG Analytics,Data Analyst,1,4.6L,3.0L,6.3L,39
489,Indegene,Data Analyst,1,9.0L,7.5L,10.9L,38
490,Cisco Systems,Data Analyst,3,9.0L,4.0L,21.7L,38
491,Huawei Technologies,Data Analyst,2,4.3L,3.3L,5.8L,38
492,Data Entry,Data Analyst,0,1.7L,0.2L,3.4L,38
493,Shell,Data Analyst,2,13.3L,6.0L,21.7L,37
494,Harman Connected Services,Data Analyst,2,6.0L,3.5L,12.6L,37
495,Johnson & Johnson,Data Analyst,1,5.0L,3.0L,10.5L,37
496,InSync Analytics,Data Analyst,1,2.5L,1.9L,3.3L,37
497,Larsen & Toubro Limited,Data Analyst,1,5.0L,2.0L,9.0L,37
498,Yardi Systems,Data Analyst,2,3.7L,2.7L,4.6L,36
499,Freelance Consultants,Data Analyst,1,3.8L,1.8L,6.1L,36
500,Brillio,Data Analyst,0,5.8L,4.0L,11.0L,36
501,Yodlee,Data Analyst,1,5.5L,3.9L,8.6L,35
502,ABC,Data Analyst,1,9.6L,3.0L,24.0L,35
503,JLL,Data Analyst,1,5.4L,3.5L,9.2L,35
504,Sapient Corporation,Data Analyst,2,7.9L,5.0L,12.0L,35
505,ZS,Data Analyst,1,10.6L,7.0L,16.0L,35
506,Uber,Data Analyst,1,13.0L,6.5L,30.0L,35
507,Numeratr,Data Analyst,0,3.0L,2.0L,4.4L,35
508,Yukthi Datasoft,Data Analyst,1,2.1L,1.5L,2.9L,34
509,Infosys BPM,Data Analyst,1,3.8L,2.1L,7.8L,34
510,Hexaware Technologies,Data Analyst,1,6.4L,0.2L,14.0L,33
511,Ganit Business Solutions,Data Analyst,0,6.0L,6.0L,6.0L,33
512,Fractal Analytics,Data Analyst,1,9.9L,4.9L,17.5L,33
513,CAMP Systems,Data Analyst,1,3.8L,3.0L,4.6L,32
514,Indium Software,Data Analyst,0,7.0L,4.0L,11.0L,32
515,Data Gyan,Data Analyst,0,1.8L,1.5L,2.0L,32
516,Randstad,Data Analyst,1,4.2L,2.5L,8.0L,31
517,Epsilon,Data Analyst,1,9.9L,5.5L,16.1L,31
518,N+A,Data Analyst,0,3.7L,2.1L,6.0L,31
519,The Smart Cube,Data Analyst,0,7.7L,6.3L,9.0L,31
520,Dataction Analytics,Data Analyst,0,2.6L,1.9L,3.5L,31
521,TSWRDC WOMEN'S DEGREE COLLEGE,Data Analyst,0,2.5L,2.0L,3.5L,31
522,LiquidHub,Data Analyst,0,2.6L,1.4L,5.0L,30
523,Sutherland Global Services,Data Analyst,1,4.8L,2.8L,7.3L,30
524,ValueLabs,Data Analyst,1,5.1L,2.4L,13.8L,30
525,HCL Technologies BPO Services,Data Analyst,1,2.9L,1.9L,5.0L,30
526,HUDL,Data Analyst,0,2.9L,2.0L,3.8L,30
527,Mercedes-Benz Research & Development India,Data Analyst,1,10.2L,7.5L,15.0L,30
528,Whitehat jr,Data Analyst,1,5.9L,4.3L,8.0L,30
529,Caterpillar Inc,Data Analyst,1,6.2L,3.6L,10.5L,29
530,General Mills,Data Analyst,0,7.0L,5.3L,9.2L,29
531,BYJU'S,Data Analyst,1,7.0L,5.0L,15.4L,29
532,Hinduja Global Solutions,Data Analyst,1,3.7L,2.0L,6.5L,29
533,Mercer,Data Analyst,0,4.8L,2.3L,8.5L,29
534,Bridgei2i Analytics Solutions,Data Analyst,0,5.3L,4.5L,7.8L,29
535,Annalect,Data Analyst,0,5.6L,3.6L,7.5L,29
536,Verizon,Data Analyst,1,11.4L,6.4L,17.8L,28
537,McKinsey & Company,Data Analyst,1,15.3L,9.0L,20.0L,28
538,ITC Infotech India,Data Analyst,0,7.9L,3.7L,16.0L,28
539,Vaco Binary Semantics,Data Analyst,0,3.7L,2.4L,6.0L,28
540,FedEx Express,Data Analyst,0,7.4L,3.3L,12.0L,28
541,Galytix Analytics,Data Analyst,0,6.0L,6.0L,6.0L,28
542,VeeTechnologies,Data Analyst,1,1.9L,1.2L,2.4L,28
543,APA Engineering,Data Analyst,0,2.0L,1.5L,3.1L,27
544,Tesco,Data Analyst,1,5.5L,3.9L,8.9L,27
545,UBS,Data Analyst,1,9.4L,6.0L,15.5L,27
546,BCG,Data Analyst,2,11.9L,6.0L,19.4L,27
547,Reliance Industries,Data Analyst,1,6.3L,2.2L,9.0L,26
548,Collegedunia,Data Analyst,1,4.0L,3.0L,5.4L,26
549,Thomson Reuters,Data Analyst,1,4.1L,2.1L,6.9L,26
550,Tata Communications,Data Analyst,0,3.9L,2.1L,5.1L,26
551,Cerner,Data Analyst,1,7.3L,5.2L,10.5L,26
552,Sandcube Analytics,Data Analyst,0,2.3L,1.1L,3.6L,26
553,Bank of America,Data Analyst,2,13.9L,5.5L,20.0L,26
554,Stats Systems India,Data Analyst,0,2.1L,1.5L,3.1L,26
555,Objectways Technologies,Data Analyst,0,1.5L,1.2L,2.0L,26
556,Target,Data Analyst,1,8.8L,2.9L,13.0L,25
557,PayPal,Data Analyst,1,17.2L,8.0L,30.0L,25
558,NISC Export Services,Data Analyst,1,3.2L,2.3L,5.0L,25
559,ANZ Banking Group,Data Analyst,2,9.8L,4.4L,15.6L,25
560,Hive,Data Analyst,0,4.2L,3.5L,5.8L,25
561,Crif High Mark Credit Information Services,Data Analyst,2,5.5L,3.8L,8.0L,25
562,Pacecom Technologies,Data Analyst,0,2.1L,2.0L,2.6L,25
563,TCS,Data Engineer,1,5.8L,3.9L,10.1L,819
564,IBM,Data Engineer,1,10.4L,4.8L,18.0L,727
565,L&T Infotech,Data Engineer,1,5.7L,4.1L,9.0L,420
566,Accenture,Data Engineer,1,9.0L,5.0L,16.8L,332
567,Cognizant,Data Engineer,1,7.5L,4.5L,13.3L,292
568,EC-Mobility,Data Engineer,1,2.1L,1.8L,2.6L,259
569,Capgemini,Data Engineer,1,7.4L,4.0L,13.5L,231
570,Infosys,Data Engineer,1,5.5L,3.6L,10.0L,196
571,Fractal Analytics,Data Engineer,2,11.8L,8.0L,18.0L,184
572,Wipro,Data Engineer,1,6.6L,4.0L,14.5L,175
573,Amazon,Data Engineer,2,22.0L,11.0L,40.0L,166
574,Quantiphi Analytics Solutions,Data Engineer,0,10.4L,6.5L,15.0L,140
575,Tech Mahindra,Data Engineer,2,6.5L,4.2L,13.0L,130
576,Mindtree,Data Engineer,1,6.0L,3.9L,9.9L,124
577,DXC Technology,Data Engineer,1,6.6L,3.8L,12.0L,122
578,Deloitte,Data Engineer,1,11.8L,6.0L,18.0L,116
579,Walmart,Data Engineer,3,22.1L,15.0L,31.9L,88
580,Optum,Data Engineer,2,11.1L,7.9L,16.8L,80
581,Shell,Data Engineer,1,17.2L,8.0L,24.0L,79
582,HCL Technologies,Data Engineer,1,9.0L,3.5L,18.0L,79
583,Futurense Technologies,Data Engineer,1,9.5L,7.0L,12.0L,72
584,Tiger Analytics,Data Engineer,1,14.0L,7.0L,21.0L,69
585,Teradata,Data Engineer,3,13.6L,8.8L,17.5L,68
586,Altimetrik,Data Engineer,1,12.6L,6.5L,22.0L,59
587,Ernst & Young,Data Engineer,2,12.8L,5.2L,20.0L,59
588,Maersk,Data Engineer,2,17.0L,7.8L,27.8L,55
589,UnitedHealth,Data Engineer,2,10.3L,6.3L,17.3L,53
590,Genpact,Data Engineer,1,6.8L,3.2L,14.0L,47
591,PayPal,Data Engineer,4,21.6L,12.8L,31.0L,44
592,Enquero,Data Engineer,1,9.5L,6.2L,15.0L,41
593,DataMetica,Data Engineer,0,6.4L,4.0L,10.7L,41
594,Ericsson,Data Engineer,2,10.6L,5.3L,17.5L,40
595,GE,Data Engineer,3,12.8L,9.6L,16.0L,39
596,Target,Data Engineer,0,12.9L,10.0L,17.7L,38
597,Brillio,Data Engineer,0,7.7L,4.5L,13.3L,38
598,ZS,Data Engineer,1,11.7L,9.0L,16.0L,37
599,Hewlett-Packard Enterprise,Data Engineer,2,8.4L,4.5L,18.0L,36
600,Reliance jio,Data Engineer,1,8.2L,4.5L,13.0L,35
601,Sapient Corporation,Data Engineer,2,13.5L,9.2L,17.0L,34
602,Larsen & Toubro Limited,Data Engineer,1,5.8L,4.0L,10.5L,34
603,JP Morgan Chase,Data Engineer,4,18.7L,8.0L,29.0L,32
604,Societe Generale,Data Engineer,2,16.8L,9.6L,23.0L,31
605,Bajaj Finserv,Data Engineer,0,10.9L,8.0L,12.5L,30
606,Bharti Airtel,Data Engineer,2,4.0L,3.0L,7.5L,30
607,Bank of America,Data Engineer,2,15.1L,8.1L,22.0L,30
608,Mphasis,Data Engineer,1,10.1L,4.2L,19.0L,30
609,Fragma Data Systems,Data Engineer,0,5.5L,3.5L,11.9L,30
610,NTT DATA,Data Engineer,2,10.4L,4.1L,25.0L,29
611,PwC,Data Engineer,1,10.0L,5.5L,16.5L,29
612,KPMG,Data Engineer,2,12.3L,7.0L,18.0L,28
613,UST,Data Engineer,1,9.8L,3.5L,17.0L,27
614,Virtusa Consulting Services,Data Engineer,1,9.0L,4.2L,20.0L,27
615,DBS Bank,Data Engineer,2,13.6L,9.1L,24.0L,27
616,Koch Business Solutions,Data Engineer,4,23.6L,12.0L,34.0L,27
617,Lowe's,Data Engineer,1,12.1L,10.0L,14.3L,26
618,BA Continuum,Data Engineer,4,16.5L,12.0L,22.8L,26
619,Dell,Data Engineer,1,12.8L,5.5L,20.0L,26
620,Data Semantics,Data Engineer,3,8.9L,4.5L,15.5L,25
621,BlazeClan Technologies,Data Engineer,0,5.5L,3.2L,9.6L,24
622,Microsoft Corporation,Data Engineer,3,25.1L,13.0L,40.1L,24
623,DataWeave,Data Engineer,1,8.2L,5.5L,12.0L,23
624,Celebal Technologies,Data Engineer,0,5.5L,4.5L,10.0L,23
625,SpringML,Data Engineer,1,9.7L,5.5L,14.0L,23
626,TEKsystems,Data Engineer,1,9.7L,6.0L,18.0L,23
627,NatWest Group,Data Engineer,2,20.4L,11.1L,32.0L,23
628,Saama Technologies,Data Engineer,2,9.7L,6.0L,14.5L,22
629,GE Aviation,Data Engineer,2,12.2L,9.0L,16.0L,22
630,Affine Analytics,Data Engineer,0,7.7L,6.0L,12.0L,22
631,Wells Fargo India,Data Engineer,3,15.2L,10.1L,22.0L,21
632,EXL Service,Data Engineer,2,10.3L,6.0L,14.1L,20
633,McKinsey & Company,Data Engineer,2,18.5L,10.0L,25.0L,20
634,Cisco Systems,Data Engineer,3,19.3L,12.0L,28.0L,20
635,IDFC FIRST Bank,Data Engineer,1,15.4L,8.5L,21.9L,20
636,ValueLabs,Data Engineer,1,10.3L,5.0L,23.5L,20
637,Paytm,Data Engineer,2,13.9L,5.8L,23.0L,20
638,Blackbuck Insights,Data Engineer,0,4.2L,2.5L,8.5L,20
639,Lumen Technologies,Data Engineer,1,6.6L,4.5L,9.2L,20
640,Micron Technology,Data Engineer,3,12.9L,8.4L,18.0L,20
641,GE Healthcare,Data Engineer,3,12.3L,10.0L,17.0L,19
642,IQVIA,Data Engineer,2,10.5L,5.5L,15.0L,19
643,SG Analytics,Data Engineer,0,7.3L,5.2L,12.0L,19
644,Wavicle Data Solutions,Data Engineer,2,5.1L,3.5L,7.2L,19
645,Mercedes-Benz Research & Development India,Data Engineer,1,13.1L,7.0L,19.0L,19
646,LatentView Analytics,Data Engineer,0,7.2L,5.3L,12.0L,19
647,Schlumberger,Data Engineer,2,13.7L,6.5L,22.5L,19
648,Adobe,Data Engineer,3,23.7L,14.0L,34.0L,18
649,Commonwealth Bank of Australia,Data Engineer,2,19.9L,9.9L,28.8L,18
650,NCR Corporation,Data Engineer,1,9.5L,6.2L,13.5L,18
651,ITC Infotech India,Data Engineer,1,6.8L,4.1L,13.0L,18
652,Novartis Healthcare,Data Engineer,2,15.0L,9.5L,19.5L,18
653,Legato Health Technologies,Data Engineer,2,10.8L,8.3L,13.5L,18
654,Honeywell Technology Solutions,Data Engineer,0,11.2L,5.0L,26.0L,17
655,Hexaware Technologies,Data Engineer,1,11.7L,3.5L,23.5L,17
656,Impetus Technologies,Data Engineer,1,13.1L,11.5L,16.0L,17
657,Bridgei2i Analytics Solutions,Data Engineer,0,6.7L,5.0L,10.0L,17
658,Verizon,Data Engineer,1,10.5L,5.6L,15.5L,16
659,Systech Solutions,Data Engineer,0,4.1L,3.3L,4.5L,16
660,Ab Inbev,Data Engineer,4,16.5L,8.2L,24.0L,16
661,Neal Analytics,Data Engineer,1,10.5L,6.8L,16.0L,16
662,TheMathCompany,Data Engineer,2,9.3L,7.0L,13.2L,16
663,Atos Syntel,Data Engineer,2,7.3L,3.8L,12.0L,16
664,Lumiq.ai,Data Engineer,0,8.1L,6.0L,9.5L,16
665,Axis Bank,Data Engineer,0,11.1L,7.7L,14.7L,16
666,Google,Data Engineer,3,45.3L,16.5L,93.5L,16
667,Maersk Line,Data Engineer,2,12.8L,8.0L,21.0L,15
668,AstraZeneca,Data Engineer,1,9.3L,6.8L,13.5L,15
669,Amdocs,Data Engineer,0,8.9L,6.1L,13.0L,15
670,MasterCard,Data Engineer,0,15.1L,13.0L,18.0L,15
671,Morgan Stanley,Data Engineer,3,20.5L,11.0L,26.0L,14
672,Tavant Technologies,Data Engineer,1,10.1L,5.8L,20.0L,14
673,Flipkart,Data Engineer,2,17.5L,9.5L,25.0L,14
674,Michelin,Data Engineer,0,9.8L,7.7L,11.3L,14
675,Concentrix Corporation,Data Engineer,1,3.7L,2.6L,4.5L,14
676,Siemens,Data Engineer,1,12.9L,6.8L,16.0L,14
677,Mu Sigma,Data Engineer,1,8.4L,5.5L,12.0L,13
678,Expedia,Data Engineer,4,27.6L,20.0L,40.0L,13
679,Decision Point,Data Engineer,0,5.9L,4.8L,7.0L,13
680,Adidas,Data Engineer,1,23.0L,14.5L,34.0L,13
681,Nokia,Data Engineer,1,10.7L,3.6L,24.5L,13
682,Oil Field Instrumentation,Data Engineer,6,6.9L,1.2L,11.1L,13
683,Atos,Data Engineer,2,8.5L,3.7L,17.8L,13
684,Bitwise Solutions,Data Engineer,0,6.1L,3.8L,9.0L,13
685,Ford Motor,Data Engineer,0,10.1L,5.7L,15.9L,13
686,Persistent Systems,Data Engineer,1,11.6L,4.2L,20.4L,13
687,Indium Software,Data Engineer,0,6.8L,3.6L,11.5L,13
688,Citicorp,Data Engineer,2,17.9L,13.5L,20.0L,13
689,The Data Team,Data Engineer,1,11.5L,8.5L,15.0L,13
690,Cittabase Solutions,Data Engineer,3,7.9L,5.0L,10.3L,13
691,NIKE,Data Engineer,3,21.3L,14.1L,29.0L,13
692,Kyndryl,Data Engineer,2,12.8L,8.5L,16.0L,13
693,Dunnhumby,Data Engineer,1,12.3L,8.7L,18.5L,12
694,Advance Auto Parts,Data Engineer,3,13.3L,10.2L,15.5L,12
695,Rackspace,Data Engineer,3,16.3L,11.0L,21.6L,12
696,Tredence,Data Engineer,2,11.4L,7.0L,16.0L,12
697,Expert Global Solutions,Data Engineer,0,2.1L,1.1L,3.1L,12
698,Cerner,Data Engineer,2,9.9L,6.0L,14.0L,12
699,Searce Cosourcing Services,Data Engineer,1,7.4L,5.0L,12.5L,12
700,Eli Lilly and Company,Data Engineer,3,18.4L,16.0L,22.0L,12
701,ValueMomentum,Data Engineer,1,10.6L,4.5L,21.3L,12
702,InfoStretch,Data Engineer,1,10.5L,4.2L,18.0L,12
703,Nagarro,Data Engineer,2,13.1L,7.0L,25.0L,12
704,KPI Partners,Data Engineer,1,12.0L,5.0L,22.0L,12
705,HSBC,Data Engineer,1,9.7L,6.5L,18.0L,12
706,Bosch Global Software Technologies,Data Engineer,1,7.1L,3.8L,14.0L,11
707,Axtria,Data Engineer,1,11.4L,7.5L,15.3L,11
708,Visa,Data Engineer,1,28.7L,16.5L,37.0L,11
709,Happiest Minds Technologies,Data Engineer,0,8.0L,4.0L,14.8L,11
710,BYJU'S,Data Engineer,1,9.7L,4.5L,19.5L,11
711,Yash Technologies,Data Engineer,0,5.3L,3.2L,8.0L,11
712,GE Digital,Data Engineer,4,12.6L,8.3L,18.3L,11
713,GSK Pharmaceuticals,Data Engineer,5,23.1L,19.0L,27.0L,11
714,Rakuten,Data Engineer,0,13.3L,8.5L,18.5L,11
715,InnovAccer,Data Engineer,1,8.2L,5.0L,15.0L,11
716,nThrive Global Solutions,Data Engineer,2,11.8L,7.8L,17.6L,11
717,AI Touch,Data Engineer,0,2.3L,2.0L,3.0L,11
718,Autodesk,Data Engineer,0,26.5L,6.4L,40.0L,11
719,Knoema IT Solutions,Data Engineer,0,3.3L,2.0L,4.1L,11
720,Ecolab Digital Center,Data Engineer,2,11.5L,8.5L,18.0L,11
721,Apple,Data Engineer,3,25.0L,17.0L,35.0L,11
722,AVASOFT,Data Engineer,0,4.0L,3.5L,4.9L,10
723,i2e Consulting,Data Engineer,2,13.1L,9.0L,16.5L,10
724,Birlasoft,Data Engineer,2,11.1L,5.2L,20.1L,10
725,EPAM Systems,Data Engineer,4,17.3L,8.8L,24.0L,10
726,Xyz Company,Data Engineer,1,12.3L,6.0L,21.0L,10
727,Colgate Palmolive,Data Engineer,1,10.7L,6.0L,15.0L,10
728,BCG,Data Engineer,2,17.2L,14.5L,19.5L,10
729,Apisero,Data Engineer,1,13.5L,8.0L,18.0L,10
730,Fidelity Investment,Data Engineer,1,13.3L,11.0L,16.7L,10
731,Oracle,Data Engineer,2,14.6L,7.0L,25.0L,10
732,Accion Labs,Data Engineer,3,18.1L,8.0L,30.0L,9
733,Dun & Bradstreet,Data Engineer,3,11.4L,8.6L,15.4L,9
734,Webhelp,Data Engineer,3,10.7L,8.5L,14.0L,9
735,Ags Infotech,Data Engineer,2,5.0L,4.4L,5.5L,9
736,Synechron,Data Engineer,4,17.3L,12.5L,24.0L,9
737,GEP Worldwide,Data Engineer,2,13.0L,10.1L,15.0L,9
738,Principal Global Services,Data Engineer,1,10.2L,9.5L,11.1L,9
739,Algonomy,Data Engineer,1,7.5L,5.0L,13.6L,9
740,Sigmoid Analytics,Data Engineer,1,15.0L,12.8L,18.5L,9
741,Vodafone Idea,Data Engineer,1,11.2L,2.1L,18.0L,9
742,Clairvoyant India,Data Engineer,2,10.5L,5.0L,17.0L,9
743,Aktrix Technologies,Data Engineer,0,4.1L,3.0L,5.5L,9
744,ThoughtWorks,Data Engineer,1,15.7L,10.0L,19.4L,9
745,DUNNHUMBY IT SERVICES INDIA,Data Engineer,1,11.9L,9.0L,14.9L,9
746,Baker Hughes,Data Engineer,3,14.8L,12.0L,16.5L,9
747,Denodo Technologies,Data Engineer,0,8.0L,6.0L,10.5L,9
748,Hashedin By Deloitte,Data Engineer,2,15.0L,11.1L,19.0L,9
749,Red Hat,Data Engineer,2,12.4L,4.5L,17.6L,8
750,HDFC Bank,Data Engineer,2,9.0L,6.5L,12.5L,8
751,Accenture,Senior Data Scientist,3,18.9L,10.5L,30.5L,80
752,TCS,Senior Data Scientist,4,16.7L,8.6L,30.0L,79
753,Cognizant,Senior Data Scientist,4,17.9L,12.0L,25.2L,57
754,Fractal Analytics,Senior Data Scientist,4,25.6L,18.0L,32.0L,47
755,Ab Inbev,Senior Data Scientist,3,28.0L,22.0L,35.0L,44
756,Wipro,Senior Data Scientist,4,16.1L,8.0L,30.0L,43
757,Deloitte,Senior Data Scientist,5,21.2L,14.0L,35.0L,42
758,Walmart,Senior Data Scientist,5,43.0L,30.0L,65.0L,32
759,Amazon,Senior Data Scientist,5,41.5L,26.0L,75.0L,30
760,UnitedHealth,Senior Data Scientist,4,23.0L,15.6L,30.5L,30
761,Ernst & Young,Senior Data Scientist,4,21.4L,15.0L,30.0L,29
762,Optum,Senior Data Scientist,5,26.2L,18.0L,36.0L,28
763,Impact Analytics,Senior Data Scientist,2,13.4L,9.0L,19.0L,28
764,Incedo,Senior Data Scientist,3,18.9L,15.0L,25.0L,26
765,IBM,Senior Data Scientist,5,24.4L,14.0L,36.0L,25
766,Target,Senior Data Scientist,2,23.8L,15.5L,30.0L,25
767,Infosys,Senior Data Scientist,4,18.1L,9.0L,30.0L,25
768,TVS Credit Services,Senior Data Scientist,4,14.7L,11.5L,21.0L,24
769,Ericsson,Senior Data Scientist,7,30.2L,14.2L,50.6L,22
770,Microsoft Corporation,Senior Data Scientist,4,56.4L,30.0L,100.0L,22
771,HCL Technologies,Senior Data Scientist,4,19.3L,14.4L,25.0L,22
772,Capgemini,Senior Data Scientist,4,16.8L,11.5L,26.0L,22
773,Dunnhumby,Senior Data Scientist,3,15.4L,12.0L,22.0L,21
774,Birlasoft,Senior Data Scientist,3,14.3L,8.0L,22.3L,20
775,Tech Mahindra,Senior Data Scientist,4,16.4L,7.1L,25.0L,20
776,Affine Analytics,Senior Data Scientist,1,9.9L,7.6L,16.0L,20
777,Wolters Kluwer,Senior Data Scientist,6,23.7L,18.0L,30.0L,19
778,Harman Connected Services,Senior Data Scientist,4,16.0L,11.5L,22.0L,19
779,L&T Infotech,Senior Data Scientist,2,20.0L,12.3L,28.0L,19
780,Reliance jio,Senior Data Scientist,4,30.0L,18.5L,46.0L,18
781,Sapient Corporation,Senior Data Scientist,2,21.1L,14.2L,28.5L,18
